29AUG2017|JSBL|0807|JS Bank Ltd|8.14|8|7.6|7.93|35500|||
29AUG2017|SBL|0807|Samba Bank|7.55|6.55|6.55|6.55|500|||
29AUG2017|SILK|0807|Silk Bank Ltd|1.36|1.41|1.36|1.38|1718500|||
29AUG2017|SCBPL|0807|St.Chart.Bank|21.59|22.66|21.99|22.66|19000|||
29AUG2017|UBL|0807|United BankXD|192.58|197.3|182.96|188.69|1409100|||
29AUG2017|AICL|0812|Adamjee Ins.|64.55|64|62|62.18|145500|||
29AUG2017|IGIL|0812|IGI Life Ins|107.12|105|101.77|101.92|2000|||
29AUG2017|CYAN|0812|Cyan Limited|45.44|44.65|44.25|44.25|3000|||
29AUG2017|JLICL|0812|Jubile Life Ins|687.25|652.9|652.89|652.89|3500|||
29AUG2017|CSIL|0812|Cres.Star Ins.|6.32|6.55|6.09|6.13|293000|||
29AUG2017|EFUG|0812|EFU GeneralXD|150|150|150|150|12000|||
29AUG2017|EFUL|0812|EFU Life Assr.XD|270|270|260|266|500|||
29AUG2017|HICL|0812|Habib Ins.|15|15.89|14.82|14.82|5500|||
29AUG2017|IGIIL|0812|IGI Insurance|319.68|319.9|305.2|314.33|6700|||
29AUG2017|ATIL|0812|Atlas Ins. Ltd|70.5|70|69.75|69.75|8500|||
29AUG2017|JGICL|0812|Jubilee Gen.Ins|89.31|90|90|90|1500|||
29AUG2017|PIL|0812|PICIC Ins.Ltd.XR|5.04|5|4.51|4.81|348500|||
29AUG2017|PKGI|0812|Pak Gen.Ins.|7.4|7.25|6.6|6.65|15500|||
29AUG2017|PAKRI|0812|Pak Reinsurance|49.67|50.4|48.1|49.43|38500|||
29AUG2017|PINL|0812|Premier Ins.|10.5|11|10.26|11|11000|||
29AUG2017|RICL|0812|Reliance Ins.|8.95|8.94|8.56|8.6|21000|||
29AUG2017|SHNI|0812|Shaheen Ins.|6.05|6|6|6|2500|||
29AUG2017|TDIL|0812|TPL Direct Insu|18.1|17.12|17.12|17.12|1000|||
29AUG2017|UNIC|0812|United Insuranc|15.73|15.64|15.25|15.38|1500|||
29AUG2017|UVIC|0812|Universal Insurance|11.5|12.49|10.5|12.49|4000|||
29AUG2017|AMTEX|0830|Amtex Limited|2.66|2.73|2.51|2.55|169000|||
29AUG2017|ASTM|0830|Asim Textile|16.29|16.5|15.3|16.44|11500|||
29AUG2017|BILF|0830|Bilal Fibres|24|23.98|22.8|22.8|132500|||
29AUG2017|CWSM|0830|Chakwal Spinning|4.66|4.97|4.5|4.54|332000|||
29AUG2017|HIRAT|0830|Hira Textile|8.9|9.15|8.81|8.86|53000|||
29AUG2017|DFSM|0830|Dewan Farooque Sp.|5.01|5.25|4.7|4.74|505500|||
29AUG2017|DMTM|0830|Dewan Mushtaq|8.99|8.6813|0|8.6813|0|||
29AUG2017|DMTX|0830|D.M.Textile|53.46|50.79|50.79|50.79|500|||
29AUG2017|DSIL|0830|D.S. Ind. Ltd.|3.27|3.22|3.1|3.13|219000|||
29AUG2017|FZCM|0830|Fazal Cloth|169.79|161.31|161.31|169.79|100|||
29AUG2017|GADT|0830|Gadoon Textile|216.99|211|206.25|207.45|900|||
29AUG2017|HMIM|0830|H.M.Ismail|13.03|13.5|12.51|12.57|185000|||
29AUG2017|IDRT|0830|Idrees Textile|16.42|15.45|15.42|15.42|5000|||
29AUG2017|KSTM|0830|Khalid Siraj|9.19|8.25|8.19|8.25|3500|||
29AUG2017|KOSM|0830|Kohinoor Spining|4.65|4.79|4.5|4.59|276000|||
29AUG2017|NPSM|0830|N. P. Spinning|21|20.65|0|20.65|0|||
29AUG2017|NCML|0830|Nazir Cotton Mills|4.67|4.74|4.1|4.3|227500|||
29AUG2017|OLSM|0830|Olympia Spinning|16.09|15.9|15.5|15.89|3000|||
29AUG2017|RAVT|0830|Ravi Textile|11.83|12.58|12|12.23|50000|||
